date,Rg,Ta,VPD,U,P,Pa,SWC,WTD,Gs,GPP,ET,Transpiration,Evaporation
2015-12-14,330.79082166666666,12.312260416666673,0.35067809666666666,1.4477149999999996,0.014583333333333332,101.68018749999999,0.428284375,0.048982124999999994,2.5669630708456754,6.721755799176,4.6998387,1.5674795610593422,3.1323591389406578
2015-12-15,280.71021354166663,11.970077083333331,0.3001039529166666,0.8058811538461538,0.035416666666666666,101.60114583333335,0.3417147916666666,0.05793281538461538,1.6357856604942413,5.806188786456,2.6076251499999996,1.2525406989537087,1.355084451046291
2015-12-16,309.82776458333336,12.004966666666663,0.30314229541666665,,0.004166666666666667,101.29952083333332,0.22782375000000002,,,5.562533716128,3.5289576999999994,1.2060373548228707,2.3229203451771285
2015-12-17,262.417255625,11.775991666666672,0.28066224437500004,,0.0,101.7746666666667,0.22116083333333328,,,5.6662654896,3.9920109999999998,1.182098733152315,2.809912266847685
2015-12-18,384.57813874999994,12.629724999999999,0.3595608527083332,,0.0,101.88389583333334,0.21396875000000007,,,4.380932801448,2.67218,1.0344693514403973,1.6377106485596027
2015-12-19,412.1671193750001,12.82484166666667,0.3810975116666666,,0.0,101.3915208333333,0.20361062499999993,,,,,,
2015-12-20,414.2813812499998,13.020327083333335,0.3889809954166667,,0.0020833333333333333,101.03354166666664,0.19611354166666672,,,,,,
2015-12-21,249.3321797916667,12.364093750000007,0.27374498291666666,,0.46041666666666686,100.70920833333334,0.23400270833333345,,,,,,
2015-12-22,160.45130187499998,12.466247916666669,0.21597801645833337,2.2153745454545457,0.32708333333333334,100.58087499999998,0.43344666666666654,-0.016907290454545452,,,,,
2015-12-23,281.44441187499996,13.375477083333335,0.2924799275,2.419202708333333,0.11249999999999999,101.34252083333335,0.6153666666666665,-0.015154624999999996,1.258952746639712,,,,
2015-12-24,208.23930333333337,13.347918749999998,0.25376147499999996,2.000739375,0.004166666666666667,101.47147916666671,0.5414891666666667,-0.0037231766666666675,2.558826057929679,3.5698345719119997,,,
2015-12-25,353.88409187499997,14.4052125,0.36998772916666667,1.9058991666666663,0.0,101.14172916666665,0.5012452083333333,0.013686095833333337,1.103187979909057,,,,
2015-12-26,244.5583327083332,14.086306249999998,0.28471785583333337,2.3936425,0.0020833333333333333,100.89302083333332,0.4699564583333334,0.02894797916666667,0.47178963146565767,,,,
2015-12-27,165.38628979166668,13.654020833333327,0.2320675029166667,3.0884687500000005,0.010416666666666666,100.62029166666667,0.4461668749999999,0.037517499999999995,1.7423358342075674,3.1078044530639994,,,
2015-12-28,255.91942187500004,14.211808333333332,0.31282892145833335,3.630825,0.05625,100.75831249999999,0.4335462500000001,0.04654662500000001,0.852922289805369,,,,
2015-12-29,371.07949229166667,15.184856249999998,0.42744926562499996,1.8005029166666662,0.0020833333333333333,101.3332708333333,0.40953291666666664,0.06539206249999997,0.47373063604157617,,,,
2015-12-30,417.9855504166665,15.891543749999997,0.5061963631249999,1.273723333333333,0.0,101.4541875,0.3896866666666667,0.07903056250000001,0.34432727581048955,,,,
2015-12-31,419.0617779166665,15.943885416666669,0.5094200460416668,1.2811908333333333,0.0,101.12793749999996,0.37345562500000007,0.09673454166666666,0.3416263371463735,,,,
2016-01-01,429.84174708333325,16.108183333333326,0.5214494520833335,1.6661045833333334,0.0,100.78014583333332,0.3597245833333334,0.11377437500000002,0.40698967770220373,,,,
2016-01-02,383.43154125,15.691233333333335,0.4752319614583332,2.3099458333333325,0.035416666666666666,101.14829166666668,0.3434397916666667,0.12943854166666663,0.6026588979753469,,,,
2016-01-03,360.14471645833333,15.63259375,0.4773454904166666,1.3255135416666668,0.0,101.39429166666666,0.3376635416666667,0.1415179166666667,0.38622166700390614,,,,
2016-01-04,246.76797312500005,14.637506250000001,0.39693984875,1.1733274999999999,0.0,101.71995833333331,0.3337858333333333,0.15619416666666672,0.6867182383452847,1.7051868092159999,,,
2016-01-05,435.012689375,15.687429166666666,0.5337726506249999,1.8310918749999994,0.0,101.75164583333331,0.32011520833333323,0.16627645833333332,0.7096588864152162,,,,
2016-01-06,433.33866458333347,15.57031875,0.5348903745833332,1.4769770833333327,0.0,101.50220833333329,0.29996229166666655,0.18283833333333332,0.40248295635542664,,,,
2016-01-07,431.45032145833346,15.444397916666668,0.5219550345833334,1.3988385416666667,0.0,100.95437499999996,0.2818754166666667,0.22149729166666665,0.46665651026426236,,,,
2016-01-08,424.8715995833333,15.414743750000005,0.49617705625,2.2172616666666665,0.0,101.18460416666663,0.26182625,0.26382937500000003,0.3312000710328992,,2.8781736,,
